time,open,high,low,close,SuperSmoother,Volume,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fish1,Fish2,unFish,Long,Short,Hurst,EBSI
2009-11-13,22,23.10001,21.75,22.73,2.8775589203182195,22079120,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,0.25313530317429805,0.5773502691896257
2009-11-16,22.89999,23.10001,22.13,23.10001,9.134305454105164,2079999,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,0.7994419370014905,0.7292612678765636
2009-11-17,23.03,23.17,22.5,23.03999,15.235779703279979,1328008,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,1.328039238096616,0.8870257550329184
2009-11-18,23,23.02,22.5,22.55,19.658908270739637,918213,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,1.7155461253977875,0.9730103247766019
2009-11-19,22.27,23.14,22.27,22.87,22.250399330482832,1031588,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,1.9469314323323137,0.9968230969325371
2009-11-20,22.5,23.33,22.5,23.21001,23.516049982519263,1080890,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.055532785481784,0.9995543583034193
2009-11-23,23.7,23.98,23.17999,23.39999,23.98310028599009,741004,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.0861427669265233,0.9969342467787865
2009-11-24,23.60001,23.64999,23.25,23.5,24.04019089327403,633092,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.076926750990802,0.993856484662617
2009-11-25,23,23.8,22.99001,23.74001,23.95727999077167,362503,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.0536633651024854,0.9917325386848536
2009-11-27,22.74001,23.3,22.74001,23.14999,23.793477022436218,142948,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.030511137961338,0.9904133047120349
2009-11-30,23.12,23.12,22.62,23,23.54419866170715,852994,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.0132652759923024,0.9888549412665767
2009-12-01,23.44,23.57001,23,23.31,23.343142175847902,803467,3.5,-3.5,3,2,0,-2,-3,NaN,NaN,NaN,NaN,NaN,2.002814214227015,0.9878191725468948
