time,open,high,low,close,Volume,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fisher,Signale,Long,Short,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fish1,Fish2,unFish,length,Long,Short
2023-04-19,33.84,34.4633,33.7644,34.25,566864,3.5,-3.5,3,2,0,-2,-3,1.393233697736632,2.2319690249616797,0,0,3.5,-3.5,3,2,0,-2,-3,1.393233697736632,2.2319690249616797,0.27035723248012794,10,0,0
2023-04-20,34.26,34.8267,33.7,34.09,522437,3.5,-3.5,3,2,0,-2,-3,0.843760309895633,1.393233697736632,0,0,3.5,-3.5,3,2,0,-2,-3,0.843760309895633,1.393233697736632,0.14609063399903888,10,0,0
2023-04-21,34.1,34.52,33.22,33.52,893057,3.5,-3.5,3,2,0,-2,-3,0.3732472802156317,0.843760309895633,0,0,3.5,-3.5,3,2,0,-2,-3,0.3732472802156317,0.843760309895633,-0.04859456951756913,10,0,0
2023-04-24,33.34,34.089,33.11,33.81,438740,3.5,-3.5,3,2,0,-2,-3,-0.1932046771593779,0.3732472802156317,0,0,3.5,-3.5,3,2,0,-2,-3,-0.1932046771593779,0.3732472802156317,-0.36255836157677135,10,0,0
2023-04-25,33.32,33.5499,32.4,33.3867,746790,3.5,-3.5,3,2,0,-2,-3,-0.7484524062302176,-0.1932046771593779,0,0,3.5,-3.5,3,2,0,-2,-3,-0.7484524062302176,-0.1932046771593779,-0.5729141022564368,11,0,0
2023-04-26,33.87,33.87,32.69,33.05,597006,3.5,-3.5,3,2,0,-2,-3,-1.1352700148146133,-0.7484524062302176,0,0,3.5,-3.5,3,2,0,-2,-3,-1.1352700148146133,-0.7484524062302176,-0.641691376129597,12,0,0
2023-04-27,32.25,33.27,32,33.13,948351,3.5,-3.5,3,2,0,-2,-3,-1.5636920169036226,-1.1352700148146133,0,0,3.5,-3.5,3,2,0,-2,-3,-1.5636920169036226,-1.1352700148146133,-0.75993322200683,12,0,0
2023-04-28,33.13,33.5755,32.73,33.51,457835,3.5,-3.5,3,2,0,-2,-3,-1.6518318794675113,-1.5636920169036226,0,0,3.5,-3.5,3,2,0,-2,-3,-1.6518318794675113,-1.5636920169036226,-0.7013669522929648,11,0,0
2023-05-01,35.56,35.58,33.04,33.17,1030967,3.5,-3.5,3,2,0,-2,-3,-0.9667556927188405,-1.6518318794675113,1,0,3.5,-3.5,3,2,0,-2,-3,-0.9667556927188405,-1.6518318794675113,-0.13991585803628642,11,1,0
2023-05-02,32.48,34.68,32.3621,34.45,874365,3.5,-3.5,3,2,0,-2,-3,-0.5581302483283417,-0.9667556927188405,0,0,3.5,-3.5,3,2,0,-2,-3,-0.5581302483283417,-0.9667556927188405,-0.07461347563058104,11,0,0
2023-05-03,34.31,35.05,33.94,34.8,680692,3.5,-3.5,3,2,0,-2,-3,0.008626682827501397,-0.5581302483283417,0,0,3.5,-3.5,3,2,0,-2,-3,0.008626682827501397,-0.5581302483283417,0.28000897132751074,11,0,0
2023-05-04,34.78,36.28,34.76,36.28,1441352,3.5,-3.5,3,2,0,-2,-3,0.5773774385013573,0.008626682827501397,0,0,3.5,-3.5,3,2,0,-2,-3,0.5773774385013573,0.008626682827501397,0.5176060107894322,13,0,0
2023-05-05,34.58,35.18,33.73,35.16,1330775,3.5,-3.5,3,2,0,-2,-3,0.7524644255296666,0.5773774385013573,0,0,3.5,-3.5,3,2,0,-2,-3,0.7524644255296666,0.5773774385013573,0.4331565124975503,10,0,0
2023-05-08,34.91,35.16,34.69,34.82,553594,3.5,-3.5,3,2,0,-2,-3,0.9045537400657732,0.7524644255296666,0,0,3.5,-3.5,3,2,0,-2,-3,0.9045537400657732,0.7524644255296666,0.48409701242015235,12,0,0
2023-05-09,34.53,35.13,34.46,34.89,640001,3.5,-3.5,3,2,0,-2,-3,0.9863482412015967,0.9045537400657732,0,0,3.5,-3.5,3,2,0,-2,-3,0.9863482412015967,0.9045537400657732,0.4884871127062516,12,0,0
2023-05-10,35.23,35.36,33.8601,34.3,1118068,3.5,-3.5,3,2,0,-2,-3,0.9767684432903563,0.9863482412015967,0,1,3.5,-3.5,3,2,0,-2,-3,0.9767684432903563,0.9863482412015967,0.4491175613537437,12,0,1
2023-05-11,32.18,32.45,30.85,30.93,2284213,3.5,-3.5,3,2,0,-2,-3,0.45928477694649167,0.9767684432903563,0,0,3.5,-3.5,3,2,0,-2,-3,0.45928477694649167,0.9767684432903563,-0.02909123389299173,11,0,0
